STATUS|SM_RECORD|CO_ITEM|LOC|SHIPDATE|SCHEDSHIPDATE|SCHEDARRIVDATE|CO_ORDERID|CO_QTY|U_SALES_DOCUMENT|U_SHIP_CONDITION|U_DMDGROUP_CODE|VL_ORDERID|LOADID|VLL_DEST|VLL_SOURCE|VLL_QTY|VLL_ITEM|ASSIGNED_PLANT|U_OVERALLSTS|P1
2|60364|4055RUPLUS|6100373713|2016-02-17|2016-02-17|2016-02-17|3019528092000080|570|Z1AA|Z2|ISS|3019528092000080|3657031661000010|6100373713|UT1F|570|4055RUPLUS|UT1F|A|0
2|60396|4055RUPLUS|6100375622|2016-02-15|2016-02-15|2016-02-15|3019556673000001|570|Z1AA|Z2|ISS|3019556673000001|3657042026000010|6100375622|US6D|570|4055RUPLUS|US6D|A|0
2|48954|4055RUPLUS|4000288414|2016-02-18|2016-02-18|2016-02-18|3019528327000100|570|Z1AA|Z2|ISS|3019528327000100|3657019854000010|4000288414|UT3C|570|4055RUPLUS|UT3C|A|0
2|48955|4055RUPLUS|4000288414|2016-02-19|2016-02-19|2016-02-19|3019528327000040|570|Z1AA|Z2|ISS|3019528327000040|3657019855000010|4000288414|UT3C|570|4055RUPLUS|UT3C|A|0
2|49099|4055RUPLUS|4000288639|2016-02-16|2016-02-16|2016-02-16|3019555727000010|570|Z1AA|Z2|ISS|3019555727000010|3657041034000010|4000288639|UT43|570|4055RUPLUS|UT43|A|0
2|50109|4055RUPLUS|4000291400|2016-02-16|2016-02-16|2016-02-16|3019555996000001|570|Z1AA|Z2|ISS|3019555996000001|3657040987000010|4000291400|US1Q|570|4055RUPLUS|US1Q|A|0
0|0|4055RUPLUSPS|4000291413|2016-02-15|2016-02-14|2016-02-15|3019525297000002|570|Z1AA|Z2|ISS|3019525297000002|3657010754000010|4000291413|UT3R|570|4055RUPLUSPS||A|0
2|50253|4055RUPLUS|4000292542|2016-02-16|2016-02-16|2016-02-16|3019539906000010|570|Z1AA|Z2|ISS|3019539906000010|3657035713000010|4000292542|USGA|570|4055RUPLUS|USGA|A|0
2|50298|4055RUPLUS|4000292571|2016-02-15|2016-02-15|2016-02-15|3019528326000003|570|Z1AA|Z2|ISS|3019528326000003|3657019001000010|4000292571|USA4|570|4055RUPLUS|USA4|A|0
2|50298|4055RUPLUS|4000292571|2016-02-15|2016-02-15|2016-02-15|3019528326000008|570|Z1AA|Z2|ISS|3019528326000008|3657019006000010|4000292571|USA4|570|4055RUPLUS|USA4|A|0
2|50299|4055RUPLUS|4000292571|2016-02-17|2016-02-17|2016-02-17|3019528326000018|570|Z1AA|Z2|ISS|3019528326000018|3657019018000010|4000292571|USA4|570|4055RUPLUS|USA4|A|0
2|50771|4055RUPLUS|4000293466|2016-02-15|2016-02-14|2016-02-15|3019499851000010|570|Z1AA|Z2|ISS|3019499851000010|3657019656000010|4000293466|UT3C|570|4055RUPLUS|UT3C|A|0
2|50772|4055RUPLUS|4000293466|2016-02-16|2016-02-15|2016-02-16|3019499853000010|570|Z1AA|Z2|ISS|3019499853000010|3657031770000010|4000293466|UT3C|570|4055RUPLUS|UT3C|A|0
