STATUS|CO_ORDERID|LOADID|CO_ITEM|SOURCE|S_CITY|S_STATE|DEST|D_CITY|D_STATE|SOURCE_PC|DEST_PC|SOURCE_GEO|DEST_GEO|NEEDARRIVDATE|SCHEDARRIVDATE|NEEDSHIPDATE|SCHEDSHIPDATE|QTY|SOURCING|RUN_DATE|CO_QTY|U_SALES_DOCUMENT|U_SHIP_CONDITION|PC_SOURCE|PC_DEST|DISTANCE|COST|VALUE|INITIAL_COST
0|3019590933000001||4055RUCUST|US9X|ORLANDO|FL|4000164069|SIDNEY|OH|32819|45365|328|453|2016-02-26||2016-02-26||570| |2016-02-24|570|Z1AA|Z2|32819|45365|100|||100
0|3019590933000002||4055RUCUST|US9X|ORLANDO|FL|4000164069|SIDNEY|OH|32819|45365|328|453|2016-02-26||2016-02-26||570| |2016-02-24|570|Z1AA|Z2|32819|45365|100|||100
0|3019590953000002||4055RUCUST|US9X|ORLANDO|FL|4000164069|SIDNEY|OH|32819|45365|328|453|2016-03-01||2016-03-01||570| |2016-02-24|570|Z1AA|Z2|32819|45365|100|||100
0|3019590943000001||4055RUCUST|US9X|ORLANDO|FL|4000164069|SIDNEY|OH|32819|45365|328|453|2016-02-29||2016-02-29||570| |2016-02-24|570|Z1AA|Z2|32819|45365|100|||100
0|3019590953000001||4055RUCUST|US9X|ORLANDO|FL|4000164069|SIDNEY|OH|32819|45365|328|453|2016-03-01||2016-03-01||570| |2016-02-24|570|Z1AA|Z2|32819|45365|100|||100
9|3019480502000060|3657094830000010|4055RUCUST|USQW|VANCE|AL|4000167740|GAINESVILLE|GA|35490|30501|354|305|2016-02-23|2016-02-23|2016-02-23|2016-02-23|510|INTRANSIT|2016-02-24|510|Z1AA|Z2|35490|30501|100|||100
2|3019480502000070|3657105544000010|4055RUCUST|USQW|VANCE|AL|4000167740|GAINESVILLE|GA|35490|30501|354|305|2016-02-24|2016-02-24|2016-02-24|2016-02-24|570|ISS9DEL|2016-02-24|570|Z1AA|Z2|35490|30501|238|||873
0|3019581053000001||4055RUCUST|US9X|ORLANDO|FL|4000167740|GAINESVILLE|GA|32819|30501|328|305|2016-03-01||2016-03-01||570| |2016-02-24|570|Z1AA|Z2|32819|30501|100|||100
0|3019581072000001||4055RUCUST|US9X|ORLANDO|FL|4000167740|GAINESVILLE|GA|32819|30501|328|305|2016-03-03||2016-03-03||570| |2016-02-24|570|Z1AA|Z2|32819|30501|100|||100
0|3019359936000001||4055RUCUST|US9X|ORLANDO|FL|4000167740|GAINESVILLE|GA|32819|30501|328|305|2016-02-29||2016-02-29||570| |2016-02-24|570|Z1AA|Z2|32819|30501|100|||100
0|3019480502000090||4055RUCUST|US9X|ORLANDO|FL|4000167740|GAINESVILLE|GA|32819|30501|328|305|2016-02-26||2016-02-26||570| |2016-02-24|570|Z1AA|Z2|32819|30501|100|||100
0|3019580245000001||4055RUCUST|US9X|ORLANDO|FL|4000167740|GAINESVILLE|GA|32819|30501|328|305|2016-03-08||2016-03-08||570| |2016-02-24|570|Z1AA|Z2|32819|30501|100|||100
0|3019480502000080||4055RUCUST|US9X|ORLANDO|FL|4000167740|GAINESVILLE|GA|32819|30501|328|305|2016-02-25||2016-02-25||570| |2016-02-24|570|Z1AA|Z2|32819|30501|100|||100
0|3019580208000001||4055RUCUST|US9X|ORLANDO|FL|4000167740|GAINESVILLE|GA|32819|30501|328|305|2016-03-02||2016-03-02||570| |2016-02-24|570|Z1AA|Z2|32819|30501|100|||100
0|3019581091000001||4055RUCUST|US9X|ORLANDO|FL|4000167740|GAINESVILLE|GA|32819|30501|328|305|2016-03-07||2016-03-07||570| |2016-02-24|570|Z1AA|Z2|32819|30501|100|||100
0|3019580228000001||4055RUCUST|US9X|ORLANDO|FL|4000167740|GAINESVILLE|GA|32819|30501|328|305|2016-03-04||2016-03-04||570| |2016-02-24|570|Z1AA|Z2|32819|30501|100|||100
0|3019581959000010|3657097025000010|4055RUCUST|USZY|JACKSON|MS|4000179270|GREENVILLE|MS|39209|38703|392|387|2016-02-24|2016-02-24|2016-02-24|2016-02-24|570| |2016-02-24|570|Z1AA|Z2|39209|38703|100|||100
0|3019581961000010||4055RUCUST|US9X|ORLANDO|FL|4000179270|GREENVILLE|MS|32819|38703|328|387|2016-02-26||2016-02-26||570| |2016-02-24|570|Z1AA|Z2|32819|38703|100|||100
2|3019580138000001|3657090388000010|4055RUCUST|USKI|MIRA LOMA|CA|4000180652|FULLERTON|CA|91752|92833|917|928|2016-02-23|2016-02-23|2016-02-23|2016-02-23|570|ISS9DEL|2016-02-24|570|Z1AA|Z2|91752|92833|32|||577
0|3019506983000001|3657102185000010|4055RUCUST|USKI|MIRA LOMA|CA|4000180652|FULLERTON|CA|91752|92833|917|928|2016-02-24|2016-02-24|2016-02-24|2016-02-24|570| |2016-02-24|570|Z1AA|Z2|91752|92833|100|||100
0|3019556640000001||4055RUCUST|US9X|ORLANDO|FL|4000180652|FULLERTON|CA|32819|92833|328|928|2016-02-29||2016-02-29||570| |2016-02-24|570|Z1AA|Z2|32819|92833|100|||100
0|3019507573000001||4055RUCUST|US9X|ORLANDO|FL|4000180652|FULLERTON|CA|32819|92833|328|928|2016-02-26||2016-02-26||570| |2016-02-24|570|Z1AA|Z2|32819|92833|100|||100
0|3019600252000001||4055RUCUST|US9X|ORLANDO|FL|4000180652|FULLERTON|CA|32819|92833|328|928|2016-02-25||2016-02-25||570| |2016-02-24|570|Z1AA|Z2|32819|92833|100|||100
0|3019607603000001||4055RUCUST|US9X|ORLANDO|FL|4000180652|FULLERTON|CA|32819|92833|328|928|2016-03-07||2016-03-07||570| |2016-02-24|570|Z1AA|Z2|32819|92833|100|||100
