STATUS|CO_ORDERID|LOADID|CO_ITEM|SOURCE|S_CITY|S_STATE|DEST|D_CITY|D_STATE|SOURCE_PC|DEST_PC|SOURCE_GEO|DEST_GEO|NEEDARRIVDATE|SCHEDARRIVDATE|NEEDSHIPDATE|SCHEDSHIPDATE|QTY|SOURCING|RUN_DATE|CO_QTY|U_SALES_DOCUMENT|U_SHIP_CONDITION|PC_SOURCE|PC_DEST|DISTANCE|COST|VALUE|INITIAL_COST|P1|FIRMSW
1|3019621135000010||4055RUPLUS|US6D|LAS VEGAS|NV|4000265490|RIVERSIDE|CA|89115|92505|891|925|2016-03-04|2016-03-04|2016-03-04|2016-03-04|540|ISS2MAXDISTSRC-5ZIP|2016-03-01|540|Z1AA|Z2|89115|92505|247|ISS2MAXDISTSRC-5ZIP_US6D->4000265490-202|0.817|392|0|1
1|3019614641000010||4055RUPLUS|UT3C|INDIANAPOLIS|IN|4000265718|EFFINGHAM|IL|46241|62401|462|624|2016-03-04|2016-03-04|2016-03-04|2016-03-04|1|ISS2MAXDISTSRC-3ZIP|2016-03-01|1|Z1AA|Z2|46241|62401|100|ISS2MAXDISTSRC-3ZIP_UT3C->4000265718-202|10|100|0|1
9|3019629603000010|3657135225000010|4055RUPLUS|UT2Q|BAKERSFIELD|CA|4000266298|NIPOMO|CA|93308|93444|933|934|2016-03-01|2016-03-01|2016-03-01|2016-03-01|570|UNPLANNED|2016-03-01|570|Z1AA|Z2|93308|93444|162|||540|2|0
1|3019654685000010||4055RUPLUS|UT2W|WEST SACRAMENTO|CA|4000266507|LIVERMORE|CA|95691|94551|956|945|2016-03-03|2016-03-03|2016-03-03|2016-03-03|570|ISS2MAXDISTSRC-5ZIP|2016-03-01|570|Z1AA|Z2|95691|94551|87|ISS2MAXDISTSRC-5ZIP_UT2W->4000266507-202|0.615|295|0|1
2|3019642723000010|3657162850000010|4055RUPLUS|US8Z|CUDAHY|WI|4000266694|MILWAUKEE|WI|53110|53224|531|532|2016-03-03|2016-03-03|2016-03-03|2016-03-03|570|ISS9DEL|2016-03-01|570|Z1AA|Z2|53110|53224|21|||299|1|0
9|3019614633000030|3657146244000010|4055RUPLUS|USE1|ONTARIO|CA|4000266835|IRVINE|CA|91761|92606|917|926|2016-03-01|2016-03-01|2016-03-01|2016-03-01|570|UNPLANNED|2016-03-01|570|Z1AA|Z2|91761|92606|40|||326|0|0
9|3019614633000040|3657146251000010|4055RUPLUS|USE1|ONTARIO|CA|4000266835|IRVINE|CA|91761|92606|917|926|2016-03-01|2016-03-01|2016-03-01|2016-03-01|570|UNPLANNED|2016-03-01|570|Z1AA|Z2|91761|92606|40|||326|0|0
2|3019614633000060|3657158540000010|4055RUPLUS|USE1|ONTARIO|CA|4000266835|IRVINE|CA|91761|92606|917|926|2016-03-02|2016-03-02|2016-03-02|2016-03-02|570|ISS9DEL|2016-03-01|570|Z1AA|Z2|91761|92606|40|||326|1|0
2|3019614633000050|3657158533000010|4055RUPLUS|USE1|ONTARIO|CA|4000266835|IRVINE|CA|91761|92606|917|926|2016-03-02|2016-03-02|2016-03-02|2016-03-02|570|ISS9DEL|2016-03-01|570|Z1AA|Z2|91761|92606|40|||326|1|0
4|3019614633000070||4055RUPLUS|USE1|ONTARIO|CA|4000266835|IRVINE|CA|91761|92606|917|926|2016-03-03|2016-03-03|2016-03-03|2016-03-03|570|ISS2MAXDISTSRC-5ZIP|2016-03-01|570|Z1AA|Z2|91761|92606|40|ISS2MAXDISTSRC-5ZIP_USE1->4000266835-202|0.0679|326|1|1
