STATUS|CO_ORDERID|LOADID|CO_ITEM|SOURCE|S_CITY|S_STATE|DEST|D_CITY|D_STATE|SOURCE_PC|DEST_PC|SOURCE_GEO|DEST_GEO|NEEDARRIVDATE|SCHEDARRIVDATE|NEEDSHIPDATE|SCHEDSHIPDATE|QTY|SOURCING|RUN_DATE|CO_QTY|U_SALES_DOCUMENT|U_SHIP_CONDITION|PC_SOURCE|PC_DEST|DISTANCE|COST|VALUE|INITIAL_COST|P1
1|3019557468000010||4055RUPLUS|UT52|BOLINGBROOK|IL|4000072771|MILWAUKEE|WI|60440|53215|604|532|2016-02-26||2016-02-26||420|ISS2MAXDISTSRC-5ZIP|2016-02-24|420|Z1AA|Z2|60440|53215|103|ISS2MAXDISTSRC-5ZIP_UT52->4000072771-202|0.521|250|0
9|3019566698000010|3657101720000010|4055RUPLUS|USKM|SALT LAKE CITY|UT|4000072846|GRANTSVILLE|UT|84104|84029|841|840|2016-02-24|2016-02-24|2016-02-24|2016-02-24|540|INTRANSIT|2016-02-24|540|Z1AA|Z2|84104|84029|40|||511|0
2|3019566699000010|3657112277000010|4055RUPLUS|USKM|SALT LAKE CITY|UT|4000072846|GRANTSVILLE|UT|84104|84029|841|840|2016-02-25|2016-02-25|2016-02-25|2016-02-25|570|ISS9DEL|2016-02-24|570|Z1AA|Z2|84104|84029|40|||511|1
1|3019566705000010||4055RUPLUS|USKM|SALT LAKE CITY|UT|4000072846|GRANTSVILLE|UT|84104|84029|841|840|2016-03-01||2016-03-01||570|ISS2MAXDISTSRC-5ZIP|2016-02-24|570|Z1AA|Z2|84104|84029|40|ISS2MAXDISTSRC-5ZIP_USKM->4000072846-202|0.1065|511|1
1|3019566710000010||4055RUPLUS|USKM|SALT LAKE CITY|UT|4000072846|GRANTSVILLE|UT|84104|84029|841|840|2016-03-04||2016-03-04||570|ISS2MAXDISTSRC-5ZIP|2016-02-24|570|Z1AA|Z2|84104|84029|40|ISS2MAXDISTSRC-5ZIP_USKM->4000072846-202|0.1065|511|1
1|3019566704000010||4055RUPLUS|USKM|SALT LAKE CITY|UT|4000072846|GRANTSVILLE|UT|84104|84029|841|840|2016-02-29||2016-02-29||570|ISS2MAXDISTSRC-5ZIP|2016-02-24|570|Z1AA|Z2|84104|84029|40|ISS2MAXDISTSRC-5ZIP_USKM->4000072846-202|0.1065|511|1
1|3019566709000010||4055RUPLUS|USKM|SALT LAKE CITY|UT|4000072846|GRANTSVILLE|UT|84104|84029|841|840|2016-03-04||2016-03-04||570|ISS2MAXDISTSRC-5ZIP|2016-02-24|570|Z1AA|Z2|84104|84029|40|ISS2MAXDISTSRC-5ZIP_USKM->4000072846-202|0.1065|511|1
1|3019566706000010||4055RUPLUS|USKM|SALT LAKE CITY|UT|4000072846|GRANTSVILLE|UT|84104|84029|841|840|2016-03-02||2016-03-02||570|ISS2MAXDISTSRC-5ZIP|2016-02-24|570|Z1AA|Z2|84104|84029|40|ISS2MAXDISTSRC-5ZIP_USKM->4000072846-202|0.1065|511|1
1|3019566707000010||4055RUPLUS|USKM|SALT LAKE CITY|UT|4000072846|GRANTSVILLE|UT|84104|84029|841|840|2016-03-03||2016-03-03||570|ISS2MAXDISTSRC-5ZIP|2016-02-24|570|Z1AA|Z2|84104|84029|40|ISS2MAXDISTSRC-5ZIP_USKM->4000072846-202|0.1065|511|1
1|3019566702000010||4055RUPLUS|USKP|SALT LAKE CITY|UT|4000072846|GRANTSVILLE|UT|84104|84029|841|840|2016-02-26||2016-02-26||570|ISS2MAXDISTSRC-5ZIP|2016-02-24|570|Z1AA|Z2|84104|84029|40|ISS2MAXDISTSRC-5ZIP_USKP->4000072846-202|1.065|511|0
1|3019566701000010||4055RUPLUS|USKP|SALT LAKE CITY|UT|4000072846|GRANTSVILLE|UT|84104|84029|841|840|2016-02-26||2016-02-26||570|ISS2MAXDISTSRC-5ZIP|2016-02-24|570|Z1AA|Z2|84104|84029|40|ISS2MAXDISTSRC-5ZIP_USKP->4000072846-202|1.065|511|0
2|3019378962000061|3657102078000010|4055RUPLUS|UT45|TOLLESON|AZ|4000072863|GLENDALE|AZ|85353|85307|853|853|2016-02-24|2016-02-24|2016-02-24|2016-02-24|570|ISS9DEL|2016-02-24|570|Z1AA|Z2|85353|85307|13|||509|1
4|3019378962000081||4055RUPLUS|UT45|TOLLESON|AZ|4000072863|GLENDALE|AZ|85353|85307|853|853|2016-03-09||2016-03-09||570|UNUSEDSMQTY|2016-02-24|570|Z1AA|Z2|85353|85307|13|||509|1
1|3019378962000071||4055RUPLUS|UT45|TOLLESON|AZ|4000072863|GLENDALE|AZ|85353|85307|853|853|2016-03-02||2016-03-02||570|ISS2MAXDISTSRC-5ZIP|2016-02-24|570|Z1AA|Z2|85353|85307|13|ISS2MAXDISTSRC-5ZIP_UT45->4000072863-202|0.106|509|1
2|3019555475000010|3657097700000010|4055RUPLUS|USFD|DE PERE|WI|4000072943|GREEN BAY|WI|54115|54303|541|543|2016-02-24|2016-02-24|2016-02-24|2016-02-24|570|ISS9DEL|2016-02-24|570|Z1AA|Z2|54115|54303|7|||160|1
