STATUS|SM_RECORD|CO_ITEM|LOC|SHIPDATE|SCHEDSHIPDATE|SCHEDARRIVDATE|CO_ORDERID|CO_QTY|U_SALES_DOCUMENT|U_SHIP_CONDITION|U_DMDGROUP_CODE|VL_ORDERID|LOADID|VLL_DEST|VLL_SOURCE|VLL_QTY|VLL_ITEM|ASSIGNED_PLANT|U_OVERALLSTS|P1|FIRMSW|SM417_RECNUM|SM417_EFF|SOURCING|MINLEADTIME|DUR
0|0|4055RUPLUS|6100485102|2016-02-23|2016-02-23|2016-02-23|3019568307001060|570|Z1AA|Z2|ISS|3019568307001060|3657071877000010|6100485102|USNE|570|4055RUPLUS||A|0|0|0||UNMET|0|0
2|177028|4055RUPLUS|6100485102|2016-02-24|2016-02-24|2016-02-24|3019568307001070|570|Z1AA|Z2|ISS|3019568307001070|3657071879000010|6100485102|USNE|570|4055RUPLUS|USNE|A|0|0|177299|24-FEB-16|ISS9DEL|0|1440
1|132476|4055RUPLUS|4000154036|2016-03-04|||3019614378000070|570|Z1AA|Z2|ISS|||||||USQM||0|1|132700|04-MAR-16|ISS2MAXDISTSRC-5ZIP|0|1440
1|153156|4055RUPLUS|4000247220|2016-03-02|||3019614339000330|570|Z1AA|Z2|ISS|||||||UT35||0|1|153397|02-MAR-16|ISS1EXCL|0|1440
1|140601|4055RUPLUS|4000198113|2016-03-02|||3019610852000010|570|Z1AA|Z2|ISS|||||||USYZ||0|1|140837|02-MAR-16|ISS1EXCL|0|1440
1|177668|4055RUPLUS|6100545280|2016-03-02|||3019608160000030|540|Z1AA|Z2|ISS|||||||UT1K||0|1|177947|02-MAR-16|ISS1EXCL|0|1440
1|138196|4055RUPLUS|4000183946|2016-03-01|||3019613660000020|562|Z1AA|Z2|ISS|||||||USA3||0|1|138429|29-FEB-16|ISS1EXCL|1440|1440
6|78961|4001AI|6100323466|2016-02-27|||3129203608000060|450|Z1BA|Z2|COL|||||||USYP||0|0|0|| |-1|1440
2|174263|4055RUPLUS|6100253013|2016-02-25|2016-02-25|2016-02-25|3019569993000240|570|Z1AA|Z2|ISS|3019569993000240|3657102471000010|6100253013|USE2|570|4055RUPLUS|USE2|A|0|0|174522|25-FEB-16|ISS9DEL|0|1440
0|0|4055RUPLUS|6100254511|2016-02-24|2016-02-23|2016-02-24|3019582993000003|570|Z1AA|Z2|ISS|3019582993000003|3657106047000010|6100254511|UT3V|570|4055RUPLUS||A|0|0|0||UNMET|0|0
2|175193|4055RUPLUS|6100330145|2016-03-04|2016-03-04|2016-03-04|3019612837000090|570|Z1AA|Z1|CPU|3019612837000090|3657110290000010|6100330145|USAR|570|4055RUPLUS|USAR|A|0|0|175453|04-MAR-16|ISS9DEL|0|1440
5|107546|4001AI|6100330751|2016-02-23|2016-02-23|2016-02-23|3129248319000010|450|Z1BA|Z2|COL|3129248319000010|3750368457000010|UT44|6100330751|450|4001AI|UT44|A|0|0|107706|23-FEB-16|COL9DEL|0|1440
5|87667|4001AI|6100331279|2016-02-23|2016-02-23|2016-02-23|3129203728000020|450|Z1BA|Z2|COL|3129203728000020|3750313814000010|UT2J|6100331279|450|4001AI|UT2J|A|0|0|87807|23-FEB-16|COL9DEL|0|1440
5|87678|4001AI|6100331279|2016-02-24|2016-02-24|2016-02-24|3129203728000100|450|Z1BA|Z2|COL|3129203728000100|3750329800000010|UT2J|6100331279|450|4001AI|UT2J|A|0|0|87818|24-FEB-16|COL9DEL|0|1440
2|175227|4055RUPLUS|6100334604|2016-02-25|2016-02-25|2016-02-25|3019557746000010|570|Z1AA|Z2|ISS|3019557746000010|3657106479000010|6100334604|US8X|570|4055RUPLUS|US8X|A|0|0|175487|25-FEB-16|ISS9DEL|0|1440
2|175244|4055RUPLUS|6100336201|2016-02-27|2016-02-27|2016-02-27|3019541117000076|570|Z1AA|Z2|ISS|3019541117000076|3657097159000010|6100336201|UT44|570|4055RUPLUS|UT44|A|0|0|175504|27-FEB-16|ISS9DEL|0|1440
2|175267|4055RUPLUS|6100337326|2016-02-23|2016-02-23|2016-02-23|3019601312000010|570|Z1AA|Z2|ISS|3019601312000010|3657107834000010|6100337326|USKM|570|4055RUPLUS|USKM|A|0|0|175527|23-FEB-16|ISS9DEL|0|1440
5|16639|4001AI|6100616408|2016-02-23|2016-02-23|2016-02-23|3129202501000020|450|Z1BA|Z2|COL|3129202501000020|3750351750000010|USA8|6100616408|450|4001AI|USA8|A|0|0|16657|23-FEB-16|COL9DEL|0|1440
2|178132|4055RUPLUS|6100616818|2016-02-23|2016-02-23|2016-02-23|3019567754000050|540|Z1AA|Z2|ISS|3019567754000050|3657089614000010|6100616818|USA4|540|4055RUPLUS|USA4|A|0|0|178412|23-FEB-16|ISS9DEL|0|1440
2|128855|4055RUPLUS|4000124461|2016-02-23|2016-02-23|2016-02-23|3019569053000020|570|Z1AA|Z1|CPU|3019569053000020|3657058854000010|4000124461|USPX|570|4055RUPLUS|USPX|A|0|0|129073|23-FEB-16|ISS9DEL|0|1440
2|127223|4055RUPLUS|4000112833|2016-02-25|2016-02-25|2016-02-25|3019582719000010|570|Z1AA|Z2|ISS|3019582719000010|3657107707000010|4000112833|UT74|570|4055RUPLUS|UT74|A|0|0|127438|25-FEB-16|ISS9DEL|0|1440
5|52841|4001AI|4000114102|2016-02-23|2016-02-23|2016-02-23|3129251036000001|450|Z1BA|Z2|COL|3129251036000001|3750371814000010|USMR|4000114102|450|4001AI|USMR|A|0|0|52927|23-FEB-16|COL9DEL|0|1440
2|118402|4055RUNEW|4000114384|2016-02-29|2016-02-28|2016-02-29|3019552230000010|280|Z1AA|Z1|CPU|3019552230000010|3657038947000010|4000114384|USCE|280|4055RUNEW|USCE|A|0|0|118599|28-FEB-16|ISS9DEL|1440|1440
2|118402|4055RUNEW|4000114384|2016-02-29|2016-02-28|2016-02-29|3019552272000010|280|Z1AA|Z1|CPU|3019552272000010|3657038955000010|4000114384|USCE|280|4055RUNEW|USCE|A|0|0|118599|28-FEB-16|ISS9DEL|1440|1440
2|127406|4055RUPLUS|4000114681|2016-02-25|2016-02-25|2016-02-25|3019563829000010|510|Z1AA|Z2|ISS|3019563829000010|3657106681000010|4000114681|UT3C|510|4055RUPLUS|UT3C|A|0|0|127621|25-FEB-16|ISS9DEL|0|1440
5|11|4001AI|4000115492|2016-02-26|2016-02-26|2016-02-26|3129203538000090|450|Z1BA|Z2|COL|3129203538000090|3750356221000010|US1M|4000115492|450|4001AI|US1M|A|0|0|14|26-FEB-16|COL9DEL|0|1440
5|4|4001AI|4000115492|2016-02-24|2016-02-24|2016-02-24|3129240860000130|450|Z1BA|Z2|COL|3129240860000130|3750359664000010|US1M|4000115492|450|4001AI|US1M|A|0|0|5|24-FEB-16|COL9DEL|0|1440
2|140513|4055RUPLUS|4000197974|2016-02-24|2016-02-24|2016-02-24|3019569158000110|570|Z1AA|Z2|ISS|3019569158000110|3657108823000010|4000197974|USA7|570|4055RUPLUS|USA7|A|0|0|140749|24-FEB-16|ISS9DEL|0|1440
2|140596|4055RUPLUS|4000198113|2016-02-24|2016-02-24|2016-02-24|3019539230000010|570|Z1AA|Z2|ISS|3019539230000010|3657105587000010|4000198113|USYZ|570|4055RUPLUS|USYZ|A|0|0|140832|24-FEB-16|ISS9DEL|0|1440
5|83434|4001AI|4000216700|2016-02-23|2016-02-23|2016-02-23|3129203199000040|450|Z1BA|Z2|COL|3129203199000040|3750313480000010|UT13|4000216700|450|4001AI|UT13|A|0|0|83557|23-FEB-16|COL9DEL|0|1440
5|83442|4001AI|4000216700|2016-02-25|2016-02-25|2016-02-25|3129203199000060|450|Z1BA|Z2|COL|3129203199000060|3750340538000010|UT13|4000216700|450|4001AI|UT13|A|0|0|83567|25-FEB-16|COL9DEL|0|1440
2|146055|4055RUPLUS|4000217155|2016-02-23|2016-02-23|2016-02-23|3019584351000010|570|Z1AA|Z2|ISS|3019584351000010|3657085605000010|4000217155|USRE|570|4055RUPLUS|USRE|A|0|0|146296|23-FEB-16|ISS9DEL|0|1440
2|146056|4055RUPLUS|4000217155|2016-02-25|2016-02-25|2016-02-25|3019584355000010|570|Z1AA|Z2|ISS|3019584355000010|3657106474000010|4000217155|USRE|570|4055RUPLUS|USRE|A|0|0|146297|25-FEB-16|ISS9DEL|0|1440
2|146178|4055RUPLUS|4000217704|2016-03-03|2016-03-03|2016-03-03|3019593178000006|570|Z1AA|Z2|ISS|3019593178000006|3657086599000010|4000217704|UT3C|570|4055RUPLUS|UT3C|A|0|0|146419|03-MAR-16|ISS9DEL|0|1440
2|146339|4055RUPLUS|4000218563|2016-02-24|2016-02-24|2016-02-24|3019591318000010|570|Z1AA|Z2|ISS|3019591318000010|3657095798000010|4000218563|USIE|570|4055RUPLUS|USIE|A|0|0|146580|24-FEB-16|ISS9DEL|0|1440
2|185207|4055RUPLUSPS|4000219765|2016-02-24|2016-02-23|2016-02-24|3019609228000001|40|Z1AA|Z1|CPU|3019609228000001|3657106815000010|4000219765|UT45|40|4055RUPLUSPS|UT45|A|0|0|185503|23-FEB-16|ISS9DEL|1440|1440
2|146712|4055RUPLUS|4000219848|2016-02-25|2016-02-24|2016-02-25|3019532803000010|540|Z1AA|Z2|ISS|3019532803000010|3657106472000010|4000219848|USQ8|540|4055RUPLUS|USQ8|A|0|0|146953|24-FEB-16|ISS9DEL|1440|1440
0|0|4001AI|4000221215|2016-02-24|2016-02-24|2016-02-24|3129239439000005|450|Z1BA|Z2|COL|3129239439000005|3750358314000010|USYF|4000221215|450|4001AI||A|0|0|0||UNMET|0|0
2|147027|4055RUPLUS|4000221457|2016-02-23|2016-02-23|2016-02-23|3019569274000020|570|Z1AA|Z2|ISS|3019569274000020|3657073882000010|4000221457|USQ4|570|4055RUPLUS|USQ4|A|0|0|147268|23-FEB-16|ISS9DEL|0|1440
2|147241|4055RUPLUS|4000222096|2016-02-24|2016-02-23|2016-02-24|3019600634000010|570|Z1AA|Z2|ISS|3019600634000010|3657105452000010|4000222096|UT3T|570|4055RUPLUS|UT3T|A|0|0|147482|23-FEB-16|ISS9DEL|1440|1440
2|147258|4055RUPLUS|4000222101|2016-02-24|2016-02-23|2016-02-24|3019601191000010|570|Z1AA|Z2|ISS|3019601191000010|3657106075000010|4000222101|UT33|570|4055RUPLUS|UT33|A|0|0|147499|23-FEB-16|ISS9DEL|1440|1440
5|65777|4001AI|6100104737|2016-02-23|2016-02-23|2016-02-23|3129203697000050|450|Z1BA|Z2|COL|3129203697000050|3750314199000010|USQM|6100104737|450|4001AI|USQM|A|0|0|65877|23-FEB-16|COL9DEL|0|1440
